id,title,genre,language,release_date,budget,revenue,rating,vote_count
818,Austin Powers in Goldmember,Comedy,en,2002-07-26,63000000,296938801,5.995,2748
36669,Die Another Day,Adventure,en,2002-11-17,140000000,431971116,5.957,3070
9645,Ghost Ship,Horror,en,2002-10-25,35000000,68349884,5.926,2081
9021,The Santa Clause 2,Fantasy,en,2002-10-31,65000000,172842355,5.922,1132
7451,xXx,Action,en,2002-08-09,70000000,277448382,5.911,3745
2103,Solaris,Drama,en,2002-11-27,47000000,30002758,5.906,1127
9296,S1m0ne,Science Fiction,en,2002-08-23,10000000,19576023,5.9,787
11870,Big Fat Liar,Family,en,2002-02-08,15000000,52970014,5.853,715
10599,Pinocchio,Comedy,it,2002-10-11,40000000,41323171,5.841,716
2022,Mr. Deeds,Comedy,en,2002-06-28,50000000,171269535,5.825,1973
9932,Analyze That,Comedy,en,2002-12-06,60000000,55003135,5.8,1068
9884,Collateral Damage,Action,en,2002-02-06,85000000,78382433,5.745,1205
10996,Stuart Little 2,Family,en,2002-07-19,120000000,169956806,5.742,2154
8869,Eight Legged Freaks,Action,en,2002-07-17,30000000,45867333,5.726,1032
10771,The Tuxedo,Thriller,en,2002-09-27,60000000,104391623,5.704,1696
11888,Snow Dogs,Comedy,en,2002-01-18,35000000,81000000,5.65,653
10375,D-Tox,Action,en,2002-01-04,55000000,6632383,5.613,560
9488,Spy Kids 2: The Island of Lost Dreams,Action,en,2002-08-07,38000000,119723358,5.576,1920
9334,The Scorpion King,Action,en,2002-04-18,60000000,165333180,5.561,2776
5851,Showtime,Action,en,2002-03-14,85000000,77885672,5.524,849
437,Cube 2: Hypercube,Thriller,en,2002-04-15,0,3563603,5.498,1222
11812,The Sweetest Thing,Romance,en,2002-04-12,43000000,68696770,5.479,939
2752,40 Days and 40 Nights,Comedy,en,2002-03-01,17000000,0,5.477,989
3132,Bad Company,Action,en,2002-06-07,70000000,65977295,5.4,657
8427,I Spy,Action,en,2002-10-31,70000000,51386477,5.385,836
12448,The Hunchback of Notre Dame II,Animation,en,2002-02-05,0,0,5.359,694
9557,Boat Trip,Comedy,en,2002-10-01,20000000,8586376,5.297,571
17130,Crossroads,Comedy,en,2002-02-15,12000000,61141030,5.229,527
42432,Natale sul Nilo,Comedy,it,2002-12-20,0,0,5.226,526
11442,Halloween: Resurrection,Horror,en,2002-07-01,13000000,37664855,4.659,1078
12536,Home Alone 4,Comedy,en,2002-11-03,0,0,4.469,1076
122,The Lord of the Rings: The Return of the King,Adventure,en,2003-12-01,94000000,1118888979,8.5,21412
670,Oldboy,Drama,ko,2003-11-21,3000000,15194593,8.267,7391
11423,Memories of Murder,Crime,ko,2003-05-02,2800000,26000000,8.1,3130
24,Kill Bill: Vol. 1,Action,en,2003-10-10,30000000,180906076,7.972,15654
13398,Tokyo Godfathers,Animation,ja,2003-12-29,0,0,7.881,997
113,"Spring, Summer, Fall, Winter... and Spring",Drama,ko,2003-09-19,0,8945072,7.845,912
12,Finding Nemo,Animation,en,2003-05-30,94000000,940335536,7.823,17538
553,Dogville,Crime,en,2003-05-19,10000000,16680836,7.789,2094
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,en,2003-07-09,140000000,655011224,7.783,18613
587,Big Fish,Adventure,en,2003-12-25,70000000,123218424,7.765,6534
322,Mystic River,Thriller,en,2003-02-20,25000000,156822020,7.748,5743
338,"Good Bye, Lenin!",Comedy,de,2003-02-13,4800000,79384880,7.565,2121
616,The Last Samurai,Drama,en,2003-12-05,140000000,456758981,7.562,6063
11615,The Life of David Gale,Drama,en,2003-02-21,50000000,38955598,7.422,1781
2056,The Station Agent,Drama,en,2003-01-26,500000,8679814,7.411,559
153,Lost in Translation,Drama,en,2003-09-18,4000000,119723856,7.395,6465
9662,The Triplets of Belleville,Animation,fr,2003-06-11,9500000,14776760,7.375,803
470,21 Grams,Drama,en,2003-09-06,20000000,60427839,7.348,2756
8424,Love Me If You Dare,Drama,fr,2003-09-17,0,0,7.263,1651
10009,Brother Bear,Adventure,en,2003-10-23,128000000,250397798,7.254,4833
