id,name,gender,popularity
9932,Harold Ramis,2,10.761
9884,Andrew Davis,2,2.525
10996,Rob Minkoff,2,3.022
8869,Ellory Elkayem,2,1.96
10771,Kevin Donovan,2,0.98
11888,Brian Levant,2,1.686
10375,Jim Gillespie,2,1.348
9488,Robert Rodriguez,2,9.698
9334,Chuck Russell,2,4.663
5851,Tom Dey,2,0.841
437,Andrzej Sekula,2,4.388
11812,Roger Kumble,2,1.431
2752,Michael Lehmann,2,4.216
3132,Joel Schumacher,2,5.531
8427,Betty Thomas,1,4.239
12448,Bradley Raymond,2,1.025
9557,Mort Nathan,2,0.982
17130,Tamra Davis,1,1.257
42432,Neri Parenti,2,1.566
11442,Rick Rosenthal,2,3.148
12536,Rod Daniel,2,2.476
122,Peter Jackson,2,12.976
670,Park Chan-wook,2,8.304
11423,Bong Joon-ho,2,9.19
24,Quentin Tarantino,2,14.692
13398,Satoshi Kon,2,4.534
113,Kim Ki-duk,2,5.294
12,Andrew Stanton,2,8.978
553,Lars von Trier,2,7.701
22,Gore Verbinski,2,3.037
587,Tim Burton,2,11.268
322,Clint Eastwood,2,35.481
338,Wolfgang Becker,2,1.624
616,Edward Zwick,2,5.998
11615,Alan Parker,2,2.142
2056,Tom McCarthy,2,5.221
153,Sofia Coppola,1,3.772
9662,Sylvain Chomet,2,2.331
470,Alejandro González Iñárritu,2,4.735
8424,Yann Samuell,2,1.495
10009,Robert Walker,2,0.6
246,Takeshi Kitano,2,6.989
504,Patty Jenkins,1,6.535
1278,Bernardo Bertolucci,2,7.15
2055,Kevin Costner,2,43.7
55931,Shinichiro Watanabe,2,9.089
2832,James Mangold,2,16.848
13156,Tim McCanlies,2,1.357
10601,P.J. Hogan,2,1.408
11093,Vadim Perelman,2,2.167
13920,Michael Tollin,2,3.95
25300,Gabriele Salvatores,2,1.632
8619,Peter Weir,2,4.049
4552,Kim Jee-woon,2,4.427
508,Richard Curtis,2,10.148
1807,Gus Van Sant,2,5.401
9316,Prachya Pinkaew,2,1.579
1584,Richard Linklater,2,5.608
604,Lana Wachowski,1,17.593
36658,Bryan Singer,2,5.375
883,Jim Jarmusch,2,3.973
